match,place
sentinelassam,Assam
assamtribune,Assam
northeastlivetv,Assam
orissadiary,Odisha
odishatv,Odisha
pragativadi,Odisha
sambad,Odisha
orissapost,Odisha
ahmedabadmirror,Ahmedabad
punemirror,Pune
mumbaimirror,Mumbai
bangaloremirror,Bengaluru
nagalandpost,Nagaland
morungexpress,Nagaland
theshillongtimes,Meghalaya
arunachaltimes,Arunachal Pradesh
ifp.co.in,Manipur
imphal free press,Manipur
sangaiexpress,Manipur
greaterkashmir,Jammu and Kashmir
kashmirobserver,Jammu and Kashmir
onmanorama,Kerala
mathrubhumi,Kerala
dtnext,Chennai
bangkokpost,Thailand
bangkok post,Thailand
thethaiger,Thailand
thaiger,Thailand
pattaya mail,Thailand
pattayamail,Thailand
nationthailand,Thailand
vnexpress,Vietnam
tuoitre,Vietnam
vietnamnews,Vietnam
thestar.com.my,Malaysia
malaymail,Malaysia
nst.com.my,Malaysia
thejakartapost,Indonesia
kompas,Indonesia
antaranews,Indonesia
tempo.co,Indonesia
inquirer.net,Philippines
philstar,Philippines
gmanetwork,Philippines
kathmandupost,Nepal
myrepublica,Nepal
thedailystar.net,Bangladesh
dhakatribune,Bangladesh
straitstimes,Singapore
dailymirror.lk,Sri Lanka
malawi24,Malawi
