name,aliases,type,country,admin1,lat,lon
India,Pan-India;Pan India,country,IN,,22.35,78.67
Andhra Pradesh,,state,IN,Andhra Pradesh,15.91,79.74
Arunachal Pradesh,,state,IN,Arunachal Pradesh,28.22,94.73
Assam,,state,IN,Assam,26.20,92.94
Bihar,,state,IN,Bihar,25.10,85.31
Chhattisgarh,,state,IN,Chhattisgarh,21.28,81.87
Goa,,state,IN,Goa,15.30,74.12
Gujarat,,state,IN,Gujarat,22.26,71.19
Haryana,,state,IN,Haryana,29.06,76.09
Himachal Pradesh,,state,IN,Himachal Pradesh,31.10,77.17
Jharkhand,,state,IN,Jharkhand,23.61,85.28
Karnataka,,state,IN,Karnataka,15.32,75.71
Kerala,,state,IN,Kerala,10.85,76.27
Madhya Pradesh,,state,IN,Madhya Pradesh,22.97,78.66
Maharashtra,,state,IN,Maharashtra,19.75,75.71
Manipur,,state,IN,Manipur,24.66,93.91
Meghalaya,,state,IN,Meghalaya,25.47,91.37
Mizoram,,state,IN,Mizoram,23.16,92.94
Nagaland,,state,IN,Nagaland,26.16,94.56
Odisha,Orissa,state,IN,Odisha,20.95,85.10
Punjab,,state,IN,Punjab,31.15,75.34
Rajasthan,,state,IN,Rajasthan,27.02,74.22
Sikkim,,state,IN,Sikkim,27.53,88.51
Tamil Nadu,,state,IN,Tamil Nadu,11.13,78.66
Telangana,,state,IN,Telangana,18.11,79.02
Tripura,,state,IN,Tripura,23.94,91.99
Uttar Pradesh,,state,IN,Uttar Pradesh,26.85,80.95
Uttarakhand,Uttaranchal,state,IN,Uttarakhand,30.07,79.02
West Bengal,,state,IN,West Bengal,22.99,87.86
Jammu and Kashmir,Jammu & Kashmir,state,IN,Jammu and Kashmir,33.78,76.58
Ladakh,,state,IN,Ladakh,34.15,77.58
Andaman and Nicobar,Andaman,state,IN,Andaman and Nicobar,11.74,92.66
Delhi,New Delhi,city,IN,Delhi,28.61,77.21
Mumbai,Bombay,city,IN,Maharashtra,19.08,72.88
Kolkata,Calcutta,city,IN,West Bengal,22.57,88.36
Chennai,Madras,city,IN,Tamil Nadu,13.08,80.27
Bengaluru,Bangalore,city,IN,Karnataka,12.97,77.59
Hyderabad,,city,IN,Telangana,17.39,78.49
Ahmedabad,,city,IN,Gujarat,23.02,72.57
Pune,,city,IN,Maharashtra,18.52,73.86
Lucknow,,city,IN,Uttar Pradesh,26.85,80.95
Jaipur,,city,IN,Rajasthan,26.91,75.79
Bhopal,,city,IN,Madhya Pradesh,23.26,77.41
Patna,,city,IN,Bihar,25.59,85.14
Guwahati,,city,IN,Assam,26.14,91.74
Bhubaneswar,,city,IN,Odisha,20.30,85.82
Thiruvananthapuram,Trivandrum,city,IN,Kerala,8.52,76.94
Kochi,Cochin,city,IN,Kerala,9.93,76.27
Visakhapatnam,Vizag,city,IN,Andhra Pradesh,17.69,83.22
Nagpur,,city,IN,Maharashtra,21.15,79.09
Indore,,city,IN,Madhya Pradesh,22.72,75.86
Raipur,,city,IN,Chhattisgarh,21.25,81.63
Ranchi,,city,IN,Jharkhand,23.34,85.31
Dehradun,,city,IN,Uttarakhand,30.32,78.03
Siliguri,,city,IN,West Bengal,26.73,88.40
Imphal,,city,IN,Manipur,24.82,93.94
Moreh,,city,IN,Manipur,24.25,94.30
Aizawl,,city,IN,Mizoram,23.73,92.72
Champhai,,city,IN,Mizoram,23.46,93.33
Dimapur,,city,IN,Nagaland,25.91,93.73
Kohima,,city,IN,Nagaland,25.67,94.11
Shillong,,city,IN,Meghalaya,25.58,91.89
Agartala,,city,IN,Tripura,23.83,91.29
Gangtok,,city,IN,Sikkim,27.33,88.61
Itanagar,,city,IN,Arunachal Pradesh,27.08,93.61
Tezpur,,city,IN,Assam,26.63,92.80
Kaziranga,,park,IN,Assam,26.58,93.17
Jorhat,,city,IN,Assam,26.75,94.20
Silchar,,city,IN,Assam,24.83,92.78
Coimbatore,,city,IN,Tamil Nadu,11.02,76.96
Madurai,,city,IN,Tamil Nadu,9.93,78.12
Tiruchirappalli,Trichy,city,IN,Tamil Nadu,10.79,78.70
Ramanathapuram,,city,IN,Tamil Nadu,9.37,78.83
Thoothukudi,Tuticorin,city,IN,Tamil Nadu,8.76,78.13
Mangaluru,Mangalore,city,IN,Karnataka,12.91,74.86
Mysuru,Mysore,city,IN,Karnataka,12.30,76.64
