native,name
आंध्र प्रदेश,Andhra Pradesh
अरुणाचल प्रदेश,Arunachal Pradesh
अरुणाचल,Arunachal Pradesh
असम,Assam
आसाम,Assam
बिहार,Bihar
छत्तीसगढ़,Chhattisgarh
छत्तीसगढ,Chhattisgarh
गोवा,Goa
गुजरात,Gujarat
हरियाणा,Haryana
हिमाचल प्रदेश,Himachal Pradesh
हिमाचल,Himachal Pradesh
झारखंड,Jharkhand
झारखण्ड,Jharkhand
कर्नाटक,Karnataka
केरल,Kerala
मध्य प्रदेश,Madhya Pradesh
मध्यप्रदेश,Madhya Pradesh
महाराष्ट्र,Maharashtra
मणिपुर,Manipur
मेघालय,Meghalaya
मिजोरम,Mizoram
मिज़ोरम,Mizoram
नागालैंड,Nagaland
ओडिशा,Odisha
ओड़िशा,Odisha
ओडिसा,Odisha
उड़ीसा,Odisha
पंजाब,Punjab
राजस्थान,Rajasthan
सिक्किम,Sikkim
तमिलनाडु,Tamil Nadu
तमिल नाडु,Tamil Nadu
तेलंगाना,Telangana
त्रिपुरा,Tripura
उत्तर प्रदेश,Uttar Pradesh
उत्तराखंड,Uttarakhand
उत्तराखण्ड,Uttarakhand
पश्चिम बंगाल,West Bengal
बंगाल,West Bengal
जम्मू-कश्मीर,Jammu and Kashmir
जम्मू कश्मीर,Jammu and Kashmir
लद्दाख,Ladakh
अंडमान,Andaman and Nicobar
दिल्ली,Delhi
मुंबई,Mumbai
कोलकाता,Kolkata
चेन्नई,Chennai
बेंगलुरु,Bengaluru
हैदराबाद,Hyderabad
लखनऊ,Lucknow
पटना,Patna
भोपाल,Bhopal
गुवाहाटी,Guwahati
भुवनेश्वर,Bhubaneswar
सिलीगुड़ी,Siliguri
भारत,India
नेपाल,Nepal
भूटान,Bhutan
बांग्लादेश,Bangladesh
म्यांमार,Myanmar
चीन,China
थाईलैंड,Thailand
वियतनाम,Vietnam
इंडोनेशिया,Indonesia
मलेशिया,Malaysia
श्रीलंका,Sri Lanka
ଓଡ଼ିଶା,Odisha
অসম,Assam
পশ্চিমবঙ্গ,West Bengal
