species_group,exporter,importer,declared_shipments
cacti_succulents,NL,CH,489088
cacti_succulents,NL,GB,271441
cacti_succulents,NL,NO,133934
cacti_succulents,NL,TR,44457
cacti_succulents,NL,AE,36957
cacti_succulents,NL,KW,27982
cacti_succulents,NL,UA,27653
cacti_succulents,TH,US,24684
cacti_succulents,NL,BA,23628
cacti_succulents,NL,RS,21646
cacti_succulents,NL,HK,13943
cacti_succulents,NL,KZ,9674
cacti_succulents,CN,JP,9222
cacti_succulents,NL,BY,8884
cacti_succulents,NL,SA,8600
cacti_succulents,NL,MD,8265
cacti_succulents,NL,ME,8166
cacti_succulents,NL,IQ,8080
cacti_succulents,NL,QA,7458
cacti_succulents,NL,JO,7084
cacti_succulents,US,CA,7070
cacti_succulents,DE,CH,6947
cacti_succulents,NL,LB,6895
cacti_succulents,TZ,NL,6529
cacti_succulents,NL,MK,5982
cacti_succulents,TH,JP,5575
cacti_succulents,NL,BH,5244
cacti_succulents,CN,NL,5053
cacti_succulents,CN,US,4852
cacti_succulents,DO,US,4795
cacti_succulents,NL,GH,4763
cacti_succulents,NL,OM,4735
cacti_succulents,NL,AL,4604
cacti_succulents,GT,US,4579
cacti_succulents,NL,MV,4545
cacti_succulents,NL,SR,4540
cacti_succulents,TH,SG,4006
cacti_succulents,CA,US,3617
cacti_succulents,DK,CH,3437
cacti_succulents,NL,BB,3427
cacti_succulents,NL,AW,3384
cacti_succulents,NL,IL,3041
cacti_succulents,TH,KR,2952
cacti_succulents,NL,CW,2882
cacti_succulents,NL,GE,2737
cacti_succulents,NL,MA,2677
cacti_succulents,CN,VN,2517
cacti_succulents,CN,KR,2306
cacti_succulents,CZ,JP,2278
cacti_succulents,IT,CH,2273
cacti_succulents,NL,KV,2118
cacti_succulents,NL,TN,1990
cacti_succulents,JP,CN,1942
cacti_succulents,JP,FR,1924
cacti_succulents,NL,SG,1682
cacti_succulents,NL,IS,1640
cacti_succulents,NL,TZ,1593
cacti_succulents,NL,BQ,1500
cacti_succulents,BE,CH,1427
cacti_succulents,KE,US,1426
sea_fan,ID,US,457381
sea_fan,AU,US,137147
sea_fan,ID,DE,54232
sea_fan,ID,JP,40137
sea_fan,ID,GB,40081
sea_fan,ID,FR,35894
sea_fan,FJ,US,35819
sea_fan,ID,HK,29220
sea_fan,AU,DE,28243
sea_fan,ID,CN,25235
sea_fan,TO,US,22955
sea_fan,ID,NL,22863
