species_group,origin,exporter,importer,seized_shipments
sea_fan,ID,ID,US,603
medicinal_plants,US,US,CN,559
pythons_reptiles,XX,MX,US,464
medicinal_plants,XX,CN,US,265
orchids,XX,CN,US,256
red_sanders,IN,IN,CN,254
sea_fan,BS,BS,US,234
sea_fan,MX,MX,US,221
sea_fan,AU,AU,US,191
shark_ray,MX,MX,US,177
pythons_reptiles,AU,AU,US,173
pythons_reptiles,MX,MX,US,165
sea_fan,MH,MH,US,152
orchids,XX,ID,US,150
rosewood,VN,VN,US,150
sea_fan,TO,TO,US,148
pythons_reptiles,ZW,IT,US,146
pythons_reptiles,TH,TH,US,143
sea_fan,FM,FM,US,141
shark_ray,VN,VN,US,130
sea_fan,CU,CU,US,124
sea_fan,PF,PF,US,122
sea_fan,PH,PH,US,121
pythons_reptiles,VN,VN,US,121
birds,PE,PE,US,107
elephant,VN,VN,US,102
shark_ray,XX,CN,US,101
medicinal_plants,US,US,HK,100
cacti_succulents,MX,MX,US,98
red_sanders,IN,IN,HK,96
sea_fan,VN,VN,US,84
birds,MX,MX,US,81
orchids,CN,CN,US,73
pythons_reptiles,VN,IT,US,73
monitor_lizard,MY,FR,US,72
pythons_reptiles,XX,GB,US,70
shark_ray,CN,CN,US,70
pythons_reptiles,CN,CN,US,67
pythons_reptiles,VN,FR,US,63
pythons_reptiles,VN,SG,US,63
pythons_reptiles,XX,IT,US,62
sea_fan,VN,VN,CA,62
musk_deer,XX,CN,US,60
pythons_reptiles,XX,TH,US,59
pythons_reptiles,XX,CN,US,59
agarwood,LK,LK,AE,58
pythons_reptiles,XX,FR,US,56
tiger,VN,VN,US,54
sea_fan,VN,VN,KR,54
elephant,XX,MX,US,53
owl,MX,MX,US,52
sea_fan,JP,JP,US,51
pythons_reptiles,XX,HK,US,51
pythons_reptiles,ZA,IT,US,51
pythons_reptiles,AU,FR,US,51
pythons_reptiles,XX,SG,US,50
pythons_reptiles,XX,VN,US,50
birds,BR,BR,US,49
pythons_reptiles,XX,CA,US,49
orchids,XX,VN,US,48
birds,XX,MX,US,47
pythons_reptiles,ZA,ZA,US,47
bear,VN,VN,US,47
medicinal_plants,CN,CN,US,45
monitor_lizard,ID,FR,US,44
pythons_reptiles,XX,JP,US,43
musk_deer,XX,VN,US,43
red_sanders,IN,AE,CN,43
birds,CO,CO,US,42
pythons_reptiles,ZM,ZW,US,42
cacti_succulents,TH,TH,US,41
medicinal_plants,US,CN,US,41
shark_ray,XX,HK,US,40
musk_deer,VN,VN,US,40
monitor_lizard,ID,IT,US,40
primates,CN,CA,US,39
musk_deer,CN,CN,US,39
medicinal_plants,US,US,TW,39
leopard,XX,CN,US,39
pythons_reptiles,ID,ID,US,39
primates,VN,DE,US,39
elephant,ZA,ZA,US,38
tiger,XX,VN,US,38
cacti_succulents,CN,CN,US,38
musk_deer,CN,HK,US,38
pythons_reptiles,XX,ID,US,37
elephant,XX,GB,US,37
rosewood,IN,IN,US,37
musk_deer,XX,HK,US,35
sea_fan,XX,XX,US,35
pythons_reptiles,ZW,FR,US,35
elephant,NG,NG,US,34
owl,XX,RU,US,34
orchids,TH,TH,US,33
pythons_reptiles,SG,SG,US,33
owl,CA,CA,US,32
pythons_reptiles,ID,IT,US,31
elephant,TH,TH,US,31
orchids,XX,HK,US,31
cacti_succulents,US,US,KR,31
rosewood,IN,GB,US,30
rosewood,NI,GB,US,30
primates,MU,CA,US,29
sea_fan,KY,KY,US,28
sea_fan,FJ,FJ,US,28
sea_fan,MY,MY,US,28
sea_fan,VN,VN,KW,27
pythons_reptiles,NG,NG,US,27
sea_fan,CN,CN,US,26
agarwood,LK,LK,SA,26
sea_fan,ID,ID,FR,25
pythons_reptiles,AU,IT,US,25
cacti_succulents,JP,JP,US,24
orchids,TH,TH,FR,23
bear,XX,VN,US,23
pythons_reptiles,KH,KH,US,23
sea_fan,TW,IT,US,23
elephant,XX,TH,US,22
sea_fan,XX,MX,US,22
pythons_reptiles,ID,FR,US,21
shark_ray,XX,VN,US,21
primates,CN,CN,US,21
cacti_succulents,ID,ID,US,21
tiger,XX,CN,US,20
monitor_lizard,MY,IT,US,20
primates,XX,FI,GB,20
birds,US,CA,US,19
pythons_reptiles,XX,CH,US,19
sea_fan,BZ,BZ,US,19
musk_deer,XX,KR,US,19
sea_fan,TC,TC,US,19
sea_fan,VN,VN,AE,19
shark_ray,AU,AU,US,19
rosewood,IN,IN,CN,19
sea_fan,VN,VN,JP,19
rosewood,BF,BF,CH,19
primates,XX,ES,GB,19
agarwood,ID,ID,US,18
cacti_succulents,IT,IT,US,18
birds,GT,GT,DE,18
sea_fan,DO,DO,US,17
pangolin,XX,CN,US,17
medicinal_plants,XX,HK,US,17
pythons_reptiles,ZW,ZW,US,17
rosewood,XX,CA,US,17
birds,XX,PE,US,16
orchids,JP,JP,US,16
pythons_reptiles,XX,DE,US,16
elephant,XX,VN,US,16
shark_ray,HK,HK,US,16
medicinal_plants,XX,US,CN,16
lion,ZA,ZA,US,16
pythons_reptiles,VN,CH,US,16
owl,US,CA,US,16
pythons_reptiles,XX,US,HK,16
pythons_reptiles,GH,GH,US,16
shark_ray,XX,US,HK,16
pangolin,XX,MX,US,15
pangolin,VN,VN,US,15
musk_deer,XX,KH,US,15
sea_fan,PW,PW,US,15
sea_fan,VN,VN,BR,15
orchids,TW,TW,US,15
medicinal_plants,XX,IN,US,15
shark_ray,CO,CO,US,15
pythons_reptiles,XX,XX,US,15
birds,XX,CO,US,15
birds,XX,GB,US,14
cacti_succulents,ES,ES,US,14
sea_fan,TW,TW,US,14
pythons_reptiles,XX,NG,US,14
pythons_reptiles,ZW,GB,US,14
pythons_reptiles,XX,KR,US,14
sea_fan,TH,TH,US,14
orchids,XX,KH,US,14
primates,ID,ID,US,14
bear,CN,CN,US,14
birds,CR,CR,US,14
orchids,XX,TH,US,14
rhino,CN,US,HK,14
sea_fan,SA,SA,US,14
pythons_reptiles,ZM,CA,US,14
agarwood,MY,MY,US,13
agarwood,XX,CN,US,13
cacti_succulents,KR,KR,US,13
pythons_reptiles,TH,IT,US,13
rosewood,NI,NI,US,13
agarwood,LK,LK,IN,13
shark_ray,XX,ID,US,13
shark_ray,XX,XX,US,13
elephant,ZW,ZW,US,13
jaguar,PE,PE,US,13
pythons_reptiles,VN,ES,US,13
sea_fan,XX,US,CL,13
pythons_reptiles,ZA,FR,US,13
pythons_reptiles,XX,NL,US,13
red_sanders,IN,IN,SG,13
pythons_reptiles,XX,TR,US,13
red_sanders,IN,SG,CN,13
sea_fan,XX,CU,US,13
sea_fan,XX,IT,US,12
orchids,KR,KR,US,12
pythons_reptiles,ZM,IT,US,12
shark_ray,XX,CA,US,12
shark_ray,PE,PE,US,12
medicinal_plants,US,US,XX,12
medicinal_plants,CA,CA,US,12
medicinal_plants,XX,KH,US,12
shark_ray,BZ,BZ,US,12
birds,CA,CA,US,12
sea_fan,ID,US,CL,12
rosewood,AE,AE,AO,12
medicinal_plants,US,HK,US,12
rosewood,ID,ID,US,12
sea_fan,AU,US,SA,12
primates,VN,GB,US,12
cacti_succulents,XX,XX,US,11
pythons_reptiles,XX,GT,US,11
pythons_reptiles,AU,CH,US,11
pythons_reptiles,XX,AU,US,11
primates,XX,GB,US,11
musk_deer,CN,VN,US,11
medicinal_plants,US,US,AU,11
pythons_reptiles,XX,AE,US,11
birds,BB,BB,TT,11
cacti_succulents,US,US,HK,11
orchids,XX,TW,US,11
sea_fan,XX,CN,US,11
rosewood,IN,IN,JP,11
cacti_succulents,XX,TH,US,11
elephant,MX,MX,US,11
sea_fan,VN,VN,PL,11
primates,MU,MU,US,11
agarwood,XX,VN,US,11
shark_ray,US,US,TZ,11
owl,XX,MX,US,10
birds,XX,CA,US,10
pythons_reptiles,ZW,CH,US,10
pythons_reptiles,PG,JP,US,10
sea_fan,SB,SB,US,10
primates,XX,ID,US,10
shark_ray,XX,MX,US,10
sea_fan,SB,FR,US,10
pythons_reptiles,ID,GB,US,10
monitor_lizard,ID,CA,US,10
pythons_reptiles,ZW,ZA,US,10
orchids,XX,SG,US,10
leopard,TZ,TZ,US,10
sea_fan,JP,IT,US,10
monitor_lizard,XX,MX,US,10
monitor_lizard,ID,GB,US,10
sea_fan,VN,VN,IT,10
sea_fan,VN,VN,DK,10
sea_fan,VN,VN,IN,10
birds,XX,NL,US,10
cacti_succulents,DE,DE,US,10
rosewood,CA,CA,US,10
pythons_reptiles,GB,GB,US,10
primates,GB,GB,AU,10
pythons_reptiles,ZM,FR,US,10
primates,GB,AU,ES,10
primates,XX,GB,FI,10
jaguar,MX,MX,IN,10
shark_ray,VE,BR,US,10
shark_ray,VE,US,BR,10
sea_fan,EC,EC,US,9
pythons_reptiles,XX,BE,US,9
pythons_reptiles,XX,ES,US,9
pythons_reptiles,ZW,SG,US,9
pythons_reptiles,PG,IT,US,9
pythons_reptiles,XX,US,CN,9
pythons_reptiles,PE,PE,US,9
sea_fan,HT,HT,US,9
cycads,AU,AU,FR,9
sea_fan,VN,VN,CY,9
pythons_reptiles,IT,IT,US,9
orchids,ID,ID,US,9
medicinal_plants,US,TW,US,9
pangolin,XX,SG,US,9
orchids,XX,PH,US,9
shark_ray,TW,TW,US,9
medicinal_plants,XX,ID,US,9
shark_ray,XX,HK,SG,9
sea_fan,XX,ID,US,8
rosewood,BR,BR,US,8
orchids,VN,VN,US,8
elephant,XX,CA,US,8
primates,PH,PH,US,8
medicinal_plants,US,US,KR,8
tiger,XX,XX,US,8
pythons_reptiles,SD,SD,US,8
lion,PE,PE,ZA,8
leopard,XX,US,SN,8
pythons_reptiles,MY,FR,US,8
sea_fan,VN,VN,QA,8
rosewood,IN,IN,KR,8
agarwood,LK,LK,SG,8
owl,XX,NL,US,8
tiger,TH,TH,US,8
sea_fan,XX,HK,US,8
cacti_succulents,US,HK,US,8
sea_fan,XX,CA,US,8
monitor_lizard,ID,MX,US,8
monitor_lizard,MX,MX,US,8
shark_ray,XX,US,OM,8
eels,XX,CN,US,8
cacti_succulents,XX,CN,US,8
musk_deer,XX,ID,US,8
birds,SR,SR,US,8
pythons_reptiles,MZ,IT,US,8
leopard,MZ,MZ,SZ,8
sea_fan,KH,VN,US,8
tokay_gecko,XX,CN,US,8
cheetah,XX,AE,IN,8
rosewood,BZ,GB,US,8
primates,XX,AE,IN,8
owl,GT,GT,DE,8
pythons_reptiles,XX,CH,DE,7
