source,target,type,weight,first,last
case:acf76a2149d7,species:rhino,involves,1,2026-09-21,2026-09-21
case:acf76a2149d7,location:biswanath,occurred_at,1,2026-09-21,2026-09-21
location:biswanath,location:assam,within,1,2026-09-21,2026-09-21
agency:police,case:acf76a2149d7,acted_in,1,2026-09-21,2026-09-21
agency:police,case:a687444fdb7b,acted_in,1,2026-09-09,2026-09-09
agency:police,case:9a9040ae9e3c,acted_in,1,2026-09-08,2026-09-08
agency:police,case:c69b0c6e888d,acted_in,1,2026-08-31,2026-08-31
agency:police,case:694398508595,acted_in,1,2026-08-28,2026-08-28
outlet:g_plus_news,case:acf76a2149d7,reported,1,2026-09-21,2026-09-21
outlet:g_plus_news,case:8ec3f8856149,reported,1,2026-09-20,2026-09-20
outlet:the_assam_tribune,case:acf76a2149d7,reported,1,2026-09-21,2026-09-21
outlet:newslivetv.com,case:acf76a2149d7,reported,1,2026-09-21,2026-09-21
outlet:pratidin_time,case:acf76a2149d7,reported,1,2026-09-21,2026-09-21
outlet:pratidin_time,case:8ec3f8856149,reported,1,2026-09-20,2026-09-20
outlet:sentinelassam.com,case:acf76a2149d7,reported,1,2026-09-21,2026-09-21
outlet:sentinelassam.com,case:b7444bd4a007,reported,1,2026-06-30,2026-06-30
"outlet:the_sentinel_-_of_this_land,_for_its_people",case:acf76a2149d7,reported,2,2026-09-21,2026-09-21
case:258ece6e1381,species:monitor_lizard,involves,1,2026-09-21,2026-09-21
case:258ece6e1381,location:pune,occurred_at,1,2026-09-21,2026-09-21
location:pune,location:maharashtra,within,1,2026-09-21,2026-09-21
outlet:the_indian_express,case:258ece6e1381,reported,1,2026-09-21,2026-09-21
outlet:the_indian_express,case:9a9040ae9e3c,reported,1,2026-09-08,2026-09-08
case:8ec3f8856149,species:tokay_gecko,involves,1,2026-09-20,2026-09-20
case:8ec3f8856149,location:golaghat,occurred_at,1,2026-09-20,2026-09-20
case:8ec3f8856149,commodity:tokay_gecko-geckos,seized,1,2026-09-20,2026-09-20
location:golaghat,location:assam,within,1,2026-09-20,2026-09-20
outlet:india_today_ne,case:8ec3f8856149,reported,2,2026-09-20,2026-09-20
outlet:india_today_ne,case:701a4c78d8e9,reported,1,2026-09-08,2026-09-08
outlet:india_today_ne,case:b996481570b9,reported,1,2026-09-05,2026-09-05
outlet:hub_news,case:8ec3f8856149,reported,1,2026-09-20,2026-09-20
outlet:hub_news,case:701a4c78d8e9,reported,1,2026-09-08,2026-09-08
outlet:the_times_of_india,case:8ec3f8856149,reported,2,2026-09-20,2026-09-20
outlet:the_times_of_india,case:c942be9e44ec,reported,2,2026-09-13,2026-09-13
outlet:the_times_of_india,case:03ba66f09ea9,reported,1,2026-09-09,2026-09-09
outlet:the_times_of_india,case:701a4c78d8e9,reported,2,2026-09-08,2026-09-08
outlet:the_times_of_india,case:aa870014c286,reported,1,2026-09-08,2026-09-08
outlet:the_times_of_india,case:9a9040ae9e3c,reported,1,2026-09-08,2026-09-08
outlet:the_times_of_india,case:b996481570b9,reported,1,2026-09-05,2026-09-05
outlet:the_times_of_india,case:52fd05f92132,reported,1,2026-09-05,2026-09-05
outlet:the_times_of_india,case:72f9ebe1dce2,reported,1,2026-09-04,2026-09-04
outlet:the_times_of_india,case:cd474874ff08,reported,1,2026-09-01,2026-09-01
outlet:the_times_of_india,case:8349ac620b23,reported,1,2026-08-28,2026-08-28
outlet:the_times_of_india,case:8af70a535b32,reported,1,2026-08-27,2026-08-27
