species_group,viruses_confirmed,same_virus_as_in_people,close_relatives_of_human_viruses,coronaviridae,paramyxoviridae,orthomyxoviridae,flaviviridae,poxviridae,filoviridae,rhabdoviridae,retroviridae,picornaviridae,hantaviridae,herpesviridae,hepeviridae
bear,15,8,8,0,0,1,0,0,0,1,0,2,0,0,1
birds,426,43,144,11,1,3,11,0,0,0,1,2,0,0,0
cheetah,13,4,11,1,0,1,0,1,0,0,1,0,0,0,0
eels,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0
elephant,27,5,6,0,0,0,0,1,0,1,0,2,0,0,0
hornbill,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0
jackal,6,4,6,0,1,0,0,0,0,1,0,1,0,0,0
jaguar,5,3,4,0,0,0,0,0,0,0,1,0,0,0,0
leopard,15,5,11,1,2,1,0,0,0,1,2,0,0,0,1
lion,30,15,23,2,2,1,1,1,0,1,1,0,0,0,0
mongoose,13,3,9,0,0,0,0,0,0,1,0,0,0,0,1
musk_deer,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
owl,38,10,20,3,1,1,3,0,0,0,0,0,0,0,0
pangolin,31,4,17,1,2,0,1,0,0,0,0,0,0,0,0
primates,686,124,394,5,10,1,7,9,3,1,20,29,0,9,1
pythons_reptiles,25,3,6,0,0,1,1,0,0,0,0,0,0,0,0
rhino,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shark_ray,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiger,31,16,24,3,4,1,0,1,0,1,2,1,0,0,1
tokay_gecko,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turtles,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wild_boar,341,94,223,13,14,5,5,1,1,5,2,13,0,0,2
