date,disease,pathway,countries,who_report_url
2026-09-10,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON617
2026-08-28,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON616
2026-08-14,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON615
2026-08-01,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON614
2026-07-17,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON613
2026-07-03,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON612
2026-07-02,Hantavirus,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON611
2026-06-25,Nipah virus,wildlife,IN,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON609
2026-06-24,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON610
2026-06-19,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON608
2026-06-13,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON607
2026-06-08,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON606
2026-05-29,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON605
2026-05-28,Hantavirus,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604
2026-05-22,Ebola and Sudan virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603
2026-05-17,Ebola and Sudan virus disease,wildlife,CD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602
2026-05-13,Hantavirus,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON601
2026-05-08,Hantavirus,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON600
2026-05-04,Hantavirus,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON599
2026-04-10,Avian influenza,birds,IT,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON597
2026-02-14,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON595
2026-02-06,Nipah virus,wildlife,BD,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON594
2026-01-30,Nipah virus,wildlife,IN,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON593
